category,criterion,n,mean_llama_70b,mean_parla,ci95_llama_70b,ci95_parla,parla_minus_llama_70b
Diagnostic essence,diagnostic_essence,500,4.88,4.938,0.043127497981732356,0.03661634734631476,0.05799999999999983
Hallucination control,faithfulness,500,4.844,4.786,0.041865181615076345,0.05295148621696251,-0.05800000000000072
Prognostic/staging capture,prognostic_staging_capture,500,4.006,4.796,0.06265785999888025,0.05454002913784254,0.79
Reasoning quality,reasoning_quality,500,4.384,4.846,0.05980248435533543,0.04950091220794662,0.46199999999999974
Conclusion quality,conclusion_quality,500,4.036,4.726,0.06221025320642904,0.06046692132023834,0.6900000000000004
Overall usefulness,overall_usefulness,500,4.102,4.82,0.05202687746884601,0.05052578381043997,0.718
Reasoning prognostic features,reasoning_prognostic_feature_score,500,4.136,4.812,0.06311936978840148,0.05356237892469064,0.6760000000000002
Conclusion prognostic features,conclusion_prognostic_feature_score,500,3.896,4.636,0.07326212381833291,0.06656255313432258,0.7400000000000002
Reasoning hallucination control,reasoning_faithfulness_score,500,4.848,4.796,0.041978305151671065,0.052526698515267714,-0.0519999999999996
Conclusion hallucination control,conclusion_faithfulness_score,500,4.916,4.862,0.0343140532333124,0.04499324753613251,-0.05400000000000027
